province,district,year,AK PARTİ,ANADOLU PARTİSİ,ANAP,ATP,BBP,BTP,CHP,DEHAP,DP,DSP,DYP,EMEP,GENÇ PARTİ,HAK-PAR,HAP,HAS PARTİ,HDP,HEPAR,HKP,HÜDA PAR,HYP,İP,İYİ PARTİ,KP,LDP,MEP,MHP,MİLLET PARTİSİ,MMP,ÖDP,SAADET PARTİSİ,TKP,TURK PARTİ,VATAN PARTİSİ,YTP,YURT-P,CUMHUR İTTİFAKI ,MİLLET İTTİFAKI ,BĞMZ
ADANA,,2011, 5 724,-,-,-,  60,-, 1 801,-,  116,  19,  52,-,-,-,-,  86,-,  29,-,-,-,-,-,-,  14,-, 2 344,  40,  23,-,  224,  21,-,-,-,-,-,-,  25
ADANA,,,54.1,-,-,-,0.6,-,17.0,-,1.1,0.2,0.5,-,-,-,-,0.8,-,0.3,-,-,-,-,-,-,0.1,-,22.2,0.4,0.2,-,2.1,0.2,-,-,-,-,-,-,0.2
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANA,,2007, 5 641,-,-,-,-,  152, 1 369,-,  708,-,-,-,  174,-,-,-,-,-,-,-,  185,  65,-,-,-,-, 2 443,-,-,  21,  286,  46,-,-,-,-,-,-,  76
ADANA,,,50.5,-,-,-,-,1.4,12.3,-,6.3,-,-,-,1.6,-,-,-,-,-,-,-,1.7,0.6,-,-,-,-,21.9,-,-,0.2,2.6,0.4,-,-,-,-,-,-,0.7
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANA,,2002, 4 173,-,  248,-,  71,  22, 1 425,  87,-,  308, 2 229,-,  472,-,-,-,-,-,-,-,-,  58,-,-,  48,-, 1 496,  45,-,  14,  310,  5,-,-,  37,  48,-,-,  2
ADANA,,,37.6,-,2.2,-,0.6,0.2,12.9,0.8,-,2.8,20.1,-,4.3,-,-,-,-,-,-,-,-,0.5,-,-,0.4,-,13.5,0.4,-,0.1,2.8,0.1,-,-,0.3,0.4,-,-,0.0
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANA,    İmamoğlu,2018, 8 005,-,-,-,-,-, 2 711,-,-,-,-,-,-,-,-,-,  389,-,-,  37,-,-, 2 364,-,-,-, 2 440,-,-,-,  227,-,-,  33,-,-,  243,  25,  3
